Hisse,Olay_Ismi,Grup,CAR
CL=F,ABD_Secimleri_2016,Emtia_Makro,-0.023743
CL=F,ABD_Secimleri_2024,Emtia_Makro,-0.033723
CL=F,COVID19_Pandemisi_2020,Emtia_Makro,-0.163736
CL=F,Israil_Iran_2024,Emtia_Makro,0.009024
CL=F,Rusya_Ukrayna_Savasi_2022,Emtia_Makro,-0.002380
GLD,ABD_Secimleri_2016,Emtia_Makro,-0.097435
GLD,ABD_Secimleri_2024,Emtia_Makro,-0.064474
GLD,COVID19_Pandemisi_2020,Emtia_Makro,0.004437
GLD,Israil_Iran_2024,Emtia_Makro,0.038782
GLD,Rusya_Ukrayna_Savasi_2022,Emtia_Makro,-0.011297
ITA,ABD_Secimleri_2016,Odak_Sektor,0.062300
ITA,ABD_Secimleri_2024,Odak_Sektor,0.028696
ITA,COVID19_Pandemisi_2020,Odak_Sektor,-0.115162
ITA,Israil_Iran_2024,Odak_Sektor,0.023078
ITA,Rusya_Ukrayna_Savasi_2022,Odak_Sektor,0.023354
XLE,ABD_Secimleri_2016,Odak_Sektor,-0.012410
XLE,ABD_Secimleri_2024,Odak_Sektor,0.016505
XLE,COVID19_Pandemisi_2020,Odak_Sektor,-0.178469
XLE,Israil_Iran_2024,Odak_Sektor,-0.004187
XLE,Rusya_Ukrayna_Savasi_2022,Odak_Sektor,0.004049
XLF,ABD_Secimleri_2016,Odak_Sektor,0.068985
XLF,ABD_Secimleri_2024,Odak_Sektor,0.006782
XLF,COVID19_Pandemisi_2020,Odak_Sektor,-0.003592
XLF,Israil_Iran_2024,Odak_Sektor,0.017180
XLF,Rusya_Ukrayna_Savasi_2022,Odak_Sektor,-0.011138
XLK,ABD_Secimleri_2016,Odak_Sektor,-0.025202
XLK,ABD_Secimleri_2024,Odak_Sektor,0.011042
XLK,COVID19_Pandemisi_2020,Odak_Sektor,0.044831
XLK,Israil_Iran_2024,Odak_Sektor,-0.023980
XLK,Rusya_Ukrayna_Savasi_2022,Odak_Sektor,0.004378
XLP,ABD_Secimleri_2016,Kontrol_Grubu,-0.057992
XLP,ABD_Secimleri_2024,Kontrol_Grubu,-0.038125
XLP,COVID19_Pandemisi_2020,Kontrol_Grubu,0.015878
XLP,Israil_Iran_2024,Kontrol_Grubu,0.030782
XLP,Rusya_Ukrayna_Savasi_2022,Kontrol_Grubu,-0.009653
XLRE,ABD_Secimleri_2016,Kontrol_Grubu,-0.049477
XLRE,ABD_Secimleri_2024,Kontrol_Grubu,-0.019443
XLRE,COVID19_Pandemisi_2020,Kontrol_Grubu,0.012887
XLRE,Israil_Iran_2024,Kontrol_Grubu,-0.015203
XLRE,Rusya_Ukrayna_Savasi_2022,Kontrol_Grubu,0.017993
XLV,ABD_Secimleri_2016,Odak_Sektor,0.021528
XLV,ABD_Secimleri_2024,Odak_Sektor,-0.030069
XLV,COVID19_Pandemisi_2020,Odak_Sektor,0.030240
XLV,Israil_Iran_2024,Odak_Sektor,0.017862
XLV,Rusya_Ukrayna_Savasi_2022,Odak_Sektor,0.018547
XLY,ABD_Secimleri_2016,Kontrol_Grubu,0.001186
XLY,ABD_Secimleri_2024,Kontrol_Grubu,0.025979
XLY,COVID19_Pandemisi_2020,Kontrol_Grubu,-0.014595
XLY,Israil_Iran_2024,Kontrol_Grubu,-0.013613
XLY,Rusya_Ukrayna_Savasi_2022,Kontrol_Grubu,-0.029468
